"","bc","cc","ec"
"470162",464656,7.87020208978044e-09,1.23271655017629e-17
"470164",2196619,8.0123965634503e-09,8.21153441864315e-18
"470165",2245907,7.91661848511623e-09,1.31367531069056e-16
"470166",4238812,7.77511936510749e-09,1.73786692026878e-17
"470170",884808,7.31240798175153e-09,0
"470171",5321998,7.26073719961392e-09,0
"470172",6355384,7.14508878796444e-09,1.92665892252658e-17
"470173",4994188,7.0443079997564e-09,0
"470175",2839542,6.94601265110703e-09,1.1893473856307e-17
"470177",1545710,7.0518862595026e-09,0
"470180",1574752,7.31041931056686e-09,0
"470182",3295966,7.65203713965822e-09,0
"470183",4498693,7.05221746149349e-09,3.97791882717621e-17
"470184",6775899,7.30795520974892e-09,0
"470185",2197703,7.46416946860961e-09,9.43589596434098e-18
"470188",11719290,7.01784993436889e-09,3.03634537111433e-18
"470189",5002337,6.95499935854683e-09,0
"470192",2350551,7.63672276292073e-09,5.11251537132361e-18
"470195",3338230,7.56495324890289e-09,1.51954884827083e-17
"470197",4140250,8.31142743907991e-09,1.0261374153821e-17
"470198",3608528,8.39324058132561e-09,9.6812044086833e-19
"470200",943799,8.39338798499931e-09,0
"470202",1387164,8.39745889415757e-09,1.90774196322454e-17
"470203",1588117,8.41560269492228e-09,1.97823169538706e-17
"471728",4232602,7.91308144461505e-09,3.17137985588692e-17
"644079",1525145,5.16936056850325e-09,0
"644084",6864353,7.07608570206497e-09,1.36106550361522e-17
"644085",491374,6.72795752541788e-09,0
"644090",2818378,7.97169301128698e-09,1.0038089486995e-17
"644092",99849,6.63782140837276e-09,0
"644102",141604,6.16383508619343e-09,0
"644109",719175,5.83426064067835e-09,3.35591325592598e-18
"644119",1683154,6.2711136579902e-09,1.64015540863255e-17
"644122",4026440,6.37597155849143e-09,3.40069847247128e-17
"644123",4685365,6.41109093906607e-09,2.07687550526695e-17
"644124",1033305,6.37059176641307e-09,0
"644125",4271882,6.44179897460028e-09,1.0975754123405e-17
"644129",2373945,6.46970440229588e-09,1.44796331747708e-18
"644130",4742415,6.45545979697826e-09,0
"644131",1552064,6.49910190123674e-09,3.46466616538392e-17
"644133",5818012,6.60402812915657e-09,0
"644134",1487190,6.67818705415783e-09,2.1114721604515e-18
"644135",1099285,6.70844328173232e-09,0
"644137",1303353,6.75699071671898e-09,9.79736026385036e-18
"644139",649439,6.55069328810106e-09,0
"644143",3100934,7.28841477502064e-09,1.63472924730252e-17
"644144",2611154,6.75279753453406e-09,0
"644145",4332567,7.37247575506233e-09,1.29158474786217e-17
"644147",3484836,7.35114104049104e-09,8.858672577603e-18
"644148",4258763,7.402840416042e-09,4.69980149444725e-18
"644149",4412321,7.41986775180474e-09,0
"644153",649469,7.42584633288682e-09,0
"644154",503085,7.42246963122285e-09,2.26804886479357e-17
"644156",4658521,7.63507147673721e-09,0
"644159",119787,6.96781040938591e-09,0
"644160",10271644,8.88306322175853e-09,3.89393122059892e-09
"644163",91319,8.59922117684579e-09,1.72103565388398e-07
"644165",63732,5.85088042140354e-09,0
"661209",3841571,7.56072966342864e-09,0
"661211",4005902,7.90758428016126e-09,2.09030118777163e-17
"661213",3193115,7.75224040143934e-09,0
"661214",6209217,7.5149921303647e-09,2.70542976441277e-17
"661215",543084,7.22821551578322e-09,7.05311881396398e-18
"661216",660361,7.25008518531657e-09,0
"661218",9542488,7.11657588115876e-09,0
"661220",4371329,7.18607472273637e-09,0
"661221",93623,7.21649113892662e-09,0
"661225",351380,7.22207714074134e-09,0
"661227",780717,7.40004864458017e-09,0
"661233",215407,6.89820360302514e-09,0
"661235",581910,6.85764478620038e-09,0
