"","u","v"
"849","16820918","32560753"
"850","16820924","24959161"
"851","16820925","8228830513"
"852","16820927","21348452"
"853","16820931","1801613889"
"854","16820931","36467715"
"855","16820933","471633833"
"856","16820936","6782199994"
"857","16820937","249875924"
"858","16820938","367546"
"859","16820938","36591221"
"860","17337815","332431657"
"861","17337815","17348330"
"862","17348292","5894405748"
"863","17348293","17348292"
"864","17348307","5242806417"
"865","17348330","7890882158"
"866","17809150","3157145359"
"867","17809150","7076374199"
"868","17809151","621250134"
"869","17809151","17809152"
"870","17809152","153492915"
"871","17809155","431394373"
"872","17809161","2294033349"
"873","17809162","17809170"
"874","17809163","431394904"
"875","17809166","5749702263"
"876","17809169","152739328"
"877","17809170","94144708"
"878","17809172","431394905"
"879","17809179","9365798534"
"880","17809183","96152277"
"881","17809183","669098597"
"882","17809184","17809183"
"883","17809198","94147376"
"884","17809567","21648574"
"885","17809569","21659803"
"886","17809572","7049850590"
"887","17809576","21659821"
"888","17809588","25033913"
"889","17809589","17809576"
"890","17975396","1788554939"
"891","17975403","429170697"
"892","17975406","4598352102"
"893","17975413","1244371703"
"894","17975415","7806121203"
"895","17975421","429173132"
"896","17975428","6382694027"
"897","17975432","4460612483"
"898","17975438","429171173"
"899","17975446","17975447"
"900","17975446","267565537"
"901","17975447","267565533"
"902","17975458","1990831299"
"903","17975522","21659631"
"904","17975522","17975523"
"905","17975523","17975524"
"906","17975526","100292375"
"907","17975528","21659621"
"908","18691519","1835618185"
"909","19405749","367932"
"910","19715146","94206128"
"911","19715160","432616367"
"912","19722934","94208290"
"913","19722936","821879336"
"914","19723384","19723387"
"915","19723384","816764838"
"916","19723387","510920927"
"917","19723387","19405749"
"918","21292407","3715728649"
"919","21292409","8139943863"
"920","21292410","8139943869"
"921","21292411","36473079"
"922","21292412","9780233098"
"923","21292418","24972214"
"924","21292418","6207838190"
"925","21292419","24972213"
"926","21292419","24972214"
"927","21292422","24959043"
"928","21292423","24959162"
"929","21292424","25255857"
"930","21292425","25255900"
"931","21292426","25255896"
"932","21292427","1294348042"
"933","21292430","4616528"
"934","21292431","25273900"
"935","21292433","314314984"
"936","21292434","314317149"
"937","21292440","27235215"
"938","21292444","6219112392"
"939","21292448","27234006"
"940","21292449","2124630309"
"941","21292449","27234032"
"942","21292453","268146910"
"943","21292454","5525617857"
"944","21292968","262313916"
"945","21292968","1193505488"
"946","21292970","1962530964"
"947","21292972","3397107727"
"948","21292972","27286702"
"949","21292972","27286710"
"950","21292973","2698142511"
"951","21299471","6620331050"
"952","21305936","6665328521"
"953","21305937","664126952"
"954","21305938","25193304"
"955","21305939","1893476494"
"956","21346780","94270048"
"957","21346780","94270277"
"958","21346784","21346783"
"959","21346784","160019289"
"960","21346786","1289850455"
"961","21346788","21346780"
"962","21346796","6531669481"
"963","21346799","158834278"
"964","21346801","158834411"
"965","21346802","311075048"
"966","21346804","21346802"
"967","21348451","5708499451"
"968","21348454","5775894625"
"969","21348460","7169060107"
"970","21378245","82409088"
"971","21378247","5970555798"
"972","21378247","5970555796"
"973","21378248","25254128"
"974","21378249","1756971015"
"975","21378251","666949200"
"976","21378252","21378254"
"977","21378252","36487359"
"978","21378253","29434738"
"979","21378254","133128769"
"980","21378254","36487176"
"981","21378256","3772612379"
"982","21378257","4804746712"
"983","21378257","160018100"
"984","21378258","133128621"
"985","21378259","6462643365"
"986","21378261","21378262"
"987","21378262","21346802"
"988","21378264","249169042"
"989","21379135","21292434"
"990","21389558","21378263"
"991","21389560","39859734"
"992","21389560","353694929"
"993","21389565","7709983180"
"994","21389569","36471651"
"995","21647408","21647506"
"996","21647506","1759468653"
"997","21647508","21647506"
"998","21647887","9576185064"
"999","21647889","361044"
"1000","21647968","21647985"
"1001","21647968","21647969"
"1002","21647972","247756847"
"1003","21647972","21647973"
"1004","21647973","929489130"
"1005","21647975","558304066"
"1006","21647977","247757518"
"1007","21647977","21647976"
"1008","21647985","411736433"
"1009","21648009","1142990096"
"1010","21648010","929488991"
"1011","21648011","321922715"
"1012","21648012","247757608"
"1013","21648012","21647977"
"1014","21648013","21647968"
"1015","21648029","1731116570"
